event_time,event_type,product_id,category_code,brand,price,user_id,user_session
2020 ENERO,view,5743974,stationery.cartrige,italwax,1.98,595418733,f2bba423-600f-491d-92e8-975dc3a4b311
2020 ENERO,view,5743974,stationery.cartrige,italwax,1.98,595418733,f2bba423-600f-491d-92e8-975dc3a4b311
2020 ENERO,cart,5856191,appliances.environment.vacuum,runail,24.44,530095744,5f9a463e-c3d3-4879-8237-cc88f3225a6f
2020 ENERO,view,5885596,appliances.environment.vacuum,polarus,102.38,459117441,9ea2e135-cbcc-4c79-897b-cd1db49b27c7
2020 ENERO,cart,5824195,apparel.glove,domix,0.94,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,view,5885592,appliances.environment.vacuum,polarus,59.52,231166811,3a4885c8-eed1-4f81-93a4-8934e6659ce7
2020 ENERO,view,5856193,furniture.living_room.cabinet,runail,82.54,542094936,43cbf4d6-6650-4b1a-b4dd-0abf2c910ab3
2020 ENERO,view,5854574,appliances.environment.vacuum,jessnail,21.43,575961087,5581429a-6a67-4fb3-bd64-9cec04d40055
2020 ENERO,view,5830789,accessories.bag,vosev,62.7,591426627,9857f406-90b9-48a6-a820-bc2ad7301fe0
2020 ENERO,view,5809118,appliances.personal.hair_cutter,jaguar,89.16,450855234,22770e7a-19d0-4368-bfe6-3182efcfd95c
2020 ENERO,cart,5766983,stationery.cartrige,italwax,2.14,595442596,bbe4011e-b744-411b-93e9-a2049bd9f8bf
2020 ENERO,cart,5901858,apparel.glove,benovy,5.62,474354201,5dd053ae-df03-4cf1-96eb-dbb0497e0a5e
2020 ENERO,view,5856192,appliances.environment.vacuum,runail,24.44,595450114,a5b57402-dba8-4e86-833b-37a970fd835a
2020 ENERO,view,5855507,appliances.environment.vacuum,max,79.21,473934988,b9d6ad00-9067-4866-b0d7-f72d12fa9df6
2020 ENERO,view,5877459,appliances.environment.vacuum,jessnail,21.43,473934988,b9d6ad00-9067-4866-b0d7-f72d12fa9df6
2020 ENERO,view,5746848,furniture.bathroom.bath,irisk,54.76,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020 ENERO,view,5746846,furniture.bathroom.bath,irisk,52.7,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020 ENERO,view,5856184,furniture.bathroom.bath,runail,46.43,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020 ENERO,view,5877529,furniture.bathroom.bath,jessnail,126.83,593687917,c1808b88-78c8-48c3-8c0c-fb8056a9e08c
2020 ENERO,view,5885593,appliances.environment.vacuum,polarus,59.52,460511653,5c40dd22-7483-4ec6-b69d-2e5a084d9e80
2020 ENERO,view,5732026,furniture.bathroom.bath,domix,4.16,580012101,47d810ef-ab02-42fe-8af5-c014624c1268
2020 ENERO,view,5854573,appliances.environment.vacuum,jessnail,46.83,594996124,4601989e-34bd-453b-abf4-931d387a580e
